timestamp,inference_id,batch_size,inference_time,throughput,gpu_util,gpu_mem,power,cpu_util,power_efficiency
1771096139.6531591,inference_0,32,0.03293329999996786,971.6609024917403,63.0,519.0,33.56,43.8,28.952947034914786
1771096139.6864238,inference_1,32,0.03246599999965838,985.6465225262341,63.0,519.0,35.11,20.8,28.07309947383179
1771096139.7196548,inference_2,32,0.03207680000014079,997.6057462047195,98.0,519.0,35.11,46.2,28.413721053965237
1771096139.752367,inference_3,32,0.032391800000368676,987.9043461504388,98.0,519.0,35.11,32.3,28.137406612088828
1771096139.7859807,inference_4,32,0.032176499999877706,994.5146302463482,98.0,519.0,36.68,27.5,27.11326690966053
1771096139.8183882,inference_5,32,0.0324758999995538,985.3460566278274,98.0,519.0,36.68,39.4,26.863305796832808
1771096139.8521345,inference_6,32,0.03248749999966094,984.994228559722,98.0,519.0,36.68,32.1,26.85371397382012
1771096139.8850732,inference_7,32,0.03225830000064889,991.992758432909,98.0,519.0,38.28,25.0,25.91412639584402
1771096139.9185693,inference_8,32,0.03260169999975915,981.5439072268135,98.0,519.0,38.28,33.3,25.64116790038698
1771096139.952097,inference_9,32,0.03271439999934955,978.1625217224293,97.0,519.0,39.87,35.7,24.533797886190854
1771096139.9853773,inference_10,32,0.03246800000033545,985.5858075541882,97.0,519.0,39.87,26.2,24.719985140561533
1771096140.0185213,inference_11,32,0.032718800000111514,978.0309791279306,97.0,519.0,39.87,55.9,24.53049859864386
1771096140.0543542,inference_12,32,0.034497199999350414,927.6115163144418,97.0,519.0,39.87,45.8,23.265902089652418
1771096140.0978456,inference_13,32,0.04269730000032723,749.4619097637263,97.0,519.0,41.44,35.1,18.085470795456718
1771096140.1551495,inference_14,32,0.056432999999742606,567.0441054019094,97.0,519.0,41.44,53.3,13.683496751976579
1771096140.2071726,inference_15,32,0.05105540000022302,626.7701359672086,97.0,519.0,42.72,51.9,14.671585579756757
1771096140.2462714,inference_16,32,0.037852700000257755,845.3822316448258,97.0,519.0,42.72,50.0,19.78890991677963
1771096140.28078,inference_17,32,0.03423560000010184,934.6995525098088,97.0,519.0,43.42,17.1,21.526935801699878
1771096140.3143241,inference_18,32,0.03313299999990704,965.8044849572866,97.0,519.0,43.42,21.2,22.243309188329953
1771096140.348023,inference_19,32,0.03262570000060805,980.8218674052545,98.0,519.0,44.83,40.9,21.878694343191043
